¿Qué pregunta de pensamiento crítico evalúa si el diseño de la app es escalable?,"""Si tu app tuviera 10 juegos en lugar de 3, ¿tu diseño seguiría funcionando?"""
¿Qué pregunta de pensamiento crítico evalúa la separación de responsabilidades entre la interfaz y la lógica?,"""¿Qué pasaría si quisieras cambiar el color del menú? ¿Tendrías que tocar los juegos?"""
"Uno de los errores comunes de principiantes es empezar a programar y _____, lo que conduce a sistemas caóticos.",ver sobre la marcha
"Contrario a un error común de principiantes, el diseño no es decoración, es _____.",estructura
"¿Cuál es el objetivo pedagógico real de la primera sesión, que se enfoca solo en el diseño?","Que la alumna interiorice que pensar antes de hacer no es perder tiempo, sino ganar claridad."
¿Cuál es una señal de éxito clave al final de la primera sesión de diseño?,"La alumna puede explicar qué hace cada parte del sistema y entiende que menú, juego y sistema son cosas distintas."
¿Cuál es la señal de fracaso que indica que no se debe avanzar a la siguiente lección?,"Si la alumna solo quiere empezar a programar o no ve la diferencia conceptual entre ""app"" y ""juego""."
¿Cuál es el objetivo principal a medio plazo del proyecto educativo DeV4GiRLS?,"Enseñar ingeniería de software, pensamiento sistémico y uso crítico de la IA a una niña de 12 años."
"En el proyecto, los mini-juegos como Tic Tac Toe no son el fin en sí mismos, sino el _____ para introducir conceptos de ingeniería.",medio
"El proyecto no busca enseñar a ""programar por primera vez"", sino dar el salto conceptual desde hacer programas que funcionan a entender cómo se _____ y _____ sistemas.","diseñan, mantienen"
"Uno de los objetivos educativos es que la alumna pueda explicar con sus propias palabras la diferencia entre _____, _____ y _____.","interfaz, lógica, estado"
"Según los principios pedagógicos del proyecto, siempre se debe explicar el _____ antes del _____.","porqué, cómo"
¿Cuál es el principio pedagógico fundamental sobre el uso de la IA en el proyecto?,"La IA es una herramienta imperfecta, no una autoridad."
El proyecto prioriza tener _____ claros frente a soluciones mágicas que funcionan pero no se entienden.,modelos mentales
"En el proyecto, si un código generado por IA funciona pero la alumna no lo entiende, se considera un _____.",fallo educativo
¿Cómo se mide principalmente el éxito del proyecto educativo?,"Se mide por la capacidad de la alumna de explicar cómo funciona el sistema, por qué está diseñado así y qué limitaciones tiene."
"¿Cuál es el objetivo último del proyecto, más allá de publicar una app?",Formar criterio técnico y una mentalidad de ingeniera.
¿Cuál es la tarea principal de la actividad de diseño de 30 minutos en la Sesión 1?,"Dibujar con cajas y flechas cómo cree que es la app por dentro, sin usar código."
¿Cuál es el criterio de éxito para el dibujo del diseño de la app?,Si puedes explicarle tu diseño a alguien que no sabe nada de programación y lo entiende.
Un error común de la IA al generar código es que mezclará todo en _____.,un solo archivo
¿Qué habilidad clave relacionada con la IA se fomenta en el proyecto?,"La capacidad de revisar y cuestionar el código generado por la IA, identificando sus errores y suposiciones."
¿Cuál es el ritmo de trabajo del proyecto y por qué se eligió así?,"Sesiones semanales de una hora, un ritmo pausado para favorecer la comprensión profunda y evitar la acumulación de deuda conceptual."
